GHGRP ID,Landfill ID,landfill_name,Landfill Alias,us_state,Physical Address,City,County,Zip Code,Latitude,Longitude,Military Landfill?,On Tribal Land?,Anaerobic Digester?,Composting?,Solar Project?,Wind Project?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),waste_in_place,waste_in_place_year,annual_waste_acceptance,Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments,Projected Direct Reductions (MMTCO2e/yr) - MW,Projected Avoided Reductions (MMTCO2e/yr) - MW,Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Potential End Users,End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007341,1994,Anchorage Regional Landfill,,AK,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,No,No,No,No,No,No,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987,2043,Open,165,112,300,150,"27,104,639","10,097,255",2019,"314,319",2019,No,Not used,Yes,7.33,Yes,3.383,2019,51,Yes,1,,,"4/10-GCCS in operation since Oct. 2006.; 2010-53 wells, system capacity=2000 acfm.; 9/13-36 vertical wells, 21 horizontal wells, and 8 interconnections with leachate system collect from 87 acres, enclosed flare from Parnell Industries.",,,167079-0,Operational,Project #1,7/31/12,,Electricity,Reciprocating Engine,,LFG piped 1.2 miles to fuel (4) GE JenbacherJGS 420 engines (1.4 MW each) at JBER,5.6,5.6,2.59,,Joint Base Elmendorf Richardson (JBER),Doyon Utilities,Doyon Utilities,GE Energy - Jenbacher Gas Engines; Western Energy Systems,No,0.2530,0.0293
1007341,1994,Anchorage Regional Landfill,,AK,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,No,No,No,No,No,No,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987,2043,Open,165,112,300,150,"27,104,639","10,097,255",2019,"314,319",2019,No,Not used,Yes,7.33,Yes,3.383,2019,51,Yes,1,,,"4/10-GCCS in operation since Oct. 2006.; 2010-53 wells, system capacity=2000 acfm.; 9/13-36 vertical wells, 21 horizontal wells, and 8 interconnections with leachate system collect from 87 acres, enclosed flare from Parnell Industries.",,,167079-1,Operational,"Project #1, Expansion #1",1/1/14,,Electricity,Reciprocating Engine,,(1) engine,1.4,1.4,,,Joint Base Elmendorf Richardson (JBER),,,GE Energy - Jenbacher Gas Engines; Western Energy Systems,Unknown,0.0633,0.0073
1010389,11941,Capitol Disposal Landfill,,AK,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,No,No,No,No,No,No,Private,"Waste Management, Inc.",,1965,2045,Open,35,,,38,"1,770,499","923,523",2019,"29,002",2019,No,Not used,No,,Yes,0.709,2019,23.3,Yes,1,0.709,2019,"9/10-16 wells over 13 acres, system installed in 2009, 1 open flare.",,,181066-0,Future Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1005349,12216,Central Peninsula Landfill (CPL),Soldotna Landfill; Central Peninsula Baling Facility; Soldotna KPB Central Landfill,AK,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.44714,-151.10369,No,No,No,No,No,No,Public,"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK",1969,2042,Open,,24.8,,,"2,703,698","1,680,681",2019,"42,077",2019,Yes,Several times per year,Yes,0.657,No,,,,No,,,,2010-Passive venting.,0.0534,0.0062,181138-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
,10960,Kodiak Island Borough Landfill,,AK,1203 Monashka Bay Road,Kodiak,Kodiak Island,99615,57.80874,-152.40761,No,No,No,No,No,No,Public,"Kodiak Island Borough, AK","Kodiak Island Borough, AK",,2014,Closed,,,,100,,"228,688",2007,"14,674",2007,Unknown,Not used,No,,No,,,,Unknown,,,,,,,180941-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1004380,11020,Merrill Field Landfill,,AK,800 Merrill Field Drive,Anchorage,Anchorage,99501,61.21266,-149.84012,No,No,No,No,No,No,Public,"Municipality of Anchorage, AK",,1960,1987,Closed,,185.7,,,"3,295,353","3,295,353",1987,"205,044",1987,No,Not used,No,0.59,Yes,0.148,2019,33.4,Yes,1,0.148,2019,"2012-30 wells, system capacity=500 acfm.",,,180945-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1011448,10980,Palmer Central Landfill,Central Landfill - MatSu Borough,AK,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,No,No,No,No,No,No,Public,"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK",1980,2168,Open,,,,45,"41,974,220","1,941,322",2019,"76,443",2019,No,Not used,Yes,,No,,,,Unknown,,,,,0.0682,0.0079,180943-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
1006806,10961,South Cushman Landfill,Fairbanks North Star Borough S. Cushman Landfill,AK,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,No,No,No,No,No,No,Public,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK",1963,2067,Open,,97.7,,,"10,518,622","4,388,500",2019,"104,142",2019,Yes,Several times per year,Yes,0.858,No,,,,No,,,,"3/11-13 wells installed in 2010, not connected yet, will be low flow.; 2012-Passive vents/flares only.",0.0698,0.0081,180942-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
,11000,Unalaska Landfill,,AK,1181 Summer Bay Road,Unalaska,Aleutians West,99685,53.88463,-166.50657,No,No,No,No,No,No,Public,City of Unalaska,City of Unalaska,1970,2013,Closed,,,,30,,,,900,2007,Unknown,Not used,No,,Unknown,,,,Unknown,,,,,,,180944-0,Unknown,,,,Unknown,Unknown,,,,,,,,,,,No,,
1001297,10860,Arrowhead Landfill,Perry County Associates Landfill,AL,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,No,No,No,No,No,No,Private,"Green Group Holdings, LLC",,2007,2099,Open,425.3,,,,"36,527,758","4,583,042",2019,"52,139",2019,Yes,Several times per year,No,0.3,No,,,,No,,,,,0.0244,0.0028,180934-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,,No,,
,27,Athens/Limestone County SLF MSWLF,,AL,"Strain Road
off Highway 31",Athens,Limestone,35611,34.7634,-86.9399,No,No,No,No,No,No,Public,"City of Athens, AL","City of Athens, AL",1972,1996,Closed,65,,78,,,"1,195,575",,,,Unknown,Not used,No,,No,,,,No,,,,,,,82-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
,16,Bishop Landfill Company,,AL,379 Pleasant Grove Cutoff Road,Albertville,Marshall,35950,34.27823,-86.33707,No,No,No,No,No,No,Private,Bishop Landfill Company,Bishop Landfill Company,1968,2002,Closed,45,28,,187.5,,"2,700,000",,"83,950",2000,Unknown,Not used,No,,No,,,,No,,,,,,,71-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
1004245,2005,Black Warrior Solid Waste Facility,,AL,3301 Landfill Drive,Coker,Tuscaloosa,35452,33.24314,-87.66585,No,No,No,No,No,No,Public,"Black Warrior Solid Waste Disposal Authority, AL","Black Warrior Solid Waste Disposal Authority, AL",1997,2037,Open,220,80.3,,,"9,826,872","7,330,089",2019,"307,971",2019,No,Not used,No,5.2,Yes,0.557,2019,65,Yes,1,0.557,2019,"4/07-Flares assumed to be passive (LFG Specialties indicated in 2004 that flare(s) was in place).; 7/08-Installing GCCS & flare.; 2012-55 wells, system capacity=1400 acfm.; 5/14-Currently flaring 600 scfm at 50% methane.",0.0453,0.0052,167090-0,Candidate,,,,Unknown,Unknown,,,,,,,,,,Siemens,No,,
,2006,Blount County/Nectar/Hayden LF & TS,,AL,2390 Armstrong Loop,Hayden,Blount,35079,33.8888,-86.712,No,No,No,No,No,No,Public,"Blount County, AL","Blount County, AL",1980,1994,Closed,160,,,,,,,"22,880",,Unknown,Not used,No,,No,,,,No,,,,,,,167091-0,Low Potential,,,,Unknown,Unknown,,,,,,,,,,,No,,
